node_id,parent_id,concept.ko,concept.en,aliases,definition,logic,examples.name,examples.description,tips,prerequisites.ko,prerequisites.en
1,,기초악전,Basic Music Theory,,기초악전은 음악을 이해하고 창작하는데 필요한 가장 초보적이고 기본적인 이론 체계입니다.,"음악을 배우기 시작할 때 가장 먼저 익혀야 하는 핵심 이론입니다.; 실제 연주,감상 창작 등 모든 음악 활동의 기초가 됩니다.",,,기초악전을 익히면 이후에 나오는 심화이론이나 실기에도 쉽게 적응할 수 있습니다.,,
2,1,음악의 3요소,Three Elements of Music,음악 3요소; 음악 삼요소,"음악을 이루는 가장 핵심적인 구성요소로서 멜로디, 화성, 리듬입니다.","음악을 소리의 예술로 분류할 때, 반드시 필요한 세 가지 근본 요소가 음악의 3요소입니다.; 각 요소는 독립적으로 존재할 수 있으나, 실제 음악에서는 결합되어 곡의 구조와 분위기, 감정을 결정합니다.; 멜로디는 음악의 선적인 요소, 리듬은 시간적·운동적 요소, 화성은 깊이와 입체감을 담당합니다.",동요 곰 세 마리,"곰 세 마리'는 따라 부르기 쉬운 멜로디, 반복적인 리듬, 간단한 화음이 모두 존재합니다.","멜로디, 리듬, 화성을 각각 따로 들어보는 연습; 단순한 곡부터 복잡한 곡까지 3요소 분석",,
3,2,멜로디,Melody,선율; 가락,음의 높낮이와 길이가 조직되어 이루어진 음악의 가락입니다.,멜로디는 곡의 주제와 정서를 드러내는 핵심 '노래선'입니다.; 멜로디가 귀에 잘 들어오면 대중적으로 사랑받기 쉽습니다.; 유명한 곡의 인상적 부분은 대부분 멜로디에 해당합니다.,생일 축하합니다' 가락,노래를 부를 때 가장 먼저 인식되는 부분이 멜로디입니다.,"흥얼거리며 외우기, 악보로 써보기",,
4,2,리듬,Rhythm,박자; 비트,"음의 길이, 강세, 시간적 배열로 음악의 움직임을 만들어내는 요소입니다.",리듬은 곡의 흐름과 활력을 만들어줍니다.; 박자와 강세가 음악을 춤추게 하거나 행진하게 만듭니다.; 동일한 멜로디도 리듬에 따라 곡의 분위기가 달라집니다.,행진곡의 규칙적 박자,반복적인 박자(리듬)에 맞춰 손뼉을 치며 행진하기 쉽습니다.,"발로 박자 맞추기, 손뼉 치기",,
5,2,화성,Harmony,코드; 화음,둘 이상의 음이 동시에 울릴 때 만들어내는 소리의 조화입니다.,"화성은 멜로디를 받쳐주며 음악의 색채와 분위기를 결정합니다.; 기타, 피아노 등에서 여러 음을 동시에 누르는 것이 화성의 전형적인 예입니다.; 화성의 변화에 따라 곡의 느낌도 많이 달라집니다.",피아노 코드 반주,여러 음을 동시에 누르는 코드 연주가 화성의 전형적 예입니다.,,,
6,1,음이름,Note Name,계이름; Pitch Name; 계명,음이름은 각 음의 고유한 소리 높이에 따라 정해진 이름입니다.,"음이름은 소리의 높이를 구분하여 전달하기 위해 사용합니다.; 서양음악의 기본 7음 : '도,레,미,파,솔,라,시(C,D,E,F,G,A,B)'로 표기합니다.; Sharp(#), Flat(b)에 따라 음이름이 변화합니다.; 한국어로는 '다,라,마,바,사,가,나(C,D,E,F,G,A,B)'로 표기됩니다.","서양음계(C,D,E,F,G,A,B)",도레미파솔라시와 영어 음이름이 서로 연결됩니다.,"피아노 흰 건반을 하나씩 짚으며 도레미파솔라시(CDEFGAB)를 먼저 인식 한 후 샾과, 플랫을 적용시켜보세요.; 음이름을 알고 있어야 코드를 볼때 쉽게 인식할 수 있습니다.",,
7,1,음표,Note,노트,음표는 소리의 길이(지속시간)을 나타내는 음악 기호입니다.,,4분음표; 2분음표; 점4분음표,한 박자짜리 음표; 두 박자짜리 음표; 한 박자 반짜리 음표,‘온음표→2분음표→4분음표→8분음표→16분음표→32분음표’ 순서로 반씩 줄어듭니다; 점음표는 길이에 1/2을 더합니다.,,
8,7,온음표,Whole-note,,4박자동안 지속되는 가장 긴 기본음표입니다.,기준 박자가 4/4일 때 한 마디 전체를 채웁니다; 다른 모든 음표의 기준이 됩니다,,,,박자,Beat
9,7,2분음표,Half-note,,2박자 동안 지속되는 음표입니다.,온음표의 절반 길이입니다,,,,박자,Beat
10,7,4분음표,Quarter-note,,1박자 동안 지속되는 음표입니다.,가장 기본단위의 음표; 대부분의 박자계산 기준이 됩니다.,,,,박자,Beat
11,7,8분음표,Eighth-note,,0.5박자 동안 지속되는 음표입니다.,4분음표의 절반; 4분음표 박자 하나에 2개가 들어갑니다.,,,,박자,Beat
12,7,16분음표,Sixteenth-note,,0.25박자 동안 지속되는 음표입니다.,8분음표의 절반; 4분음표 박자 하나에 4개가 들어갑니다.,,,,박자,Beat
13,7,32분음표,Thirty-second-note,,0.125박자 동안 지속되는 음표입니다.,16분음표의 절반; 4분음표 박자 하나에 8개가 들어갑니다.,,,,박자,Beat
14,7,점음표,Dotted-note,,점음표는 원래 길이에 절반을 추가한 길이로 연주됩니다.,,,,점을 추가하면 1/2길이의 1/2을 더합니다. 이는 쉼표도 동일합니다.; 이를 겹점음표라고 부릅니다.,박자,Beat
15,7,점온음표,Dotted-Whole-note,,6박자 동안 지속되는 음표입니다.,온음표(4박) + 2박(온음표의 절반) 길이로 6박자 동안 지속됩니다.,,,,박자,Beat
16,7,점2분음표,Dotted-Half-note,,3박자 동안 지속되는 음표입니다.,2분음표(2박) + 1박(2분음표의 절반) 길이로 3박자 동안 지속됩니다.,,,,박자,Beat
17,7,점4분음표,Dotted-Quarter-note,,1.5박자 동안 지속되는 음표입니다.,4분음표(1박) + 0.5박(4분음표의 절반) 길이로 1.5박자 동안 지속됩니다.,,,,박자,Beat
18,7,점8분음표,Dotted-Eighth-note,,0.75박자 동안 지속되는 음표입니다.,8분음표(0.5박) + 0.25박(8분음표의 절반) 길이로 0.75박자 동안 지속됩니다.,,,,박자,Beat
19,7,점16분음표,Dotted-Sixteenth-note,,0.375박자 동안 지속되는 음표입니다.,16분음표(0.25박) + 0.125박(16분음표의 절반) 길이로 0.375박자 동안 지속됩니다.,,,,박자,Beat
20,7,점32분음표,Dotted-Thirty-second-note,,0.1875박자 동안 지속되는 음표입니다.,32분음표(0.125박) + 0.0625박(32분음표의 절반) 길이로 0.1875박자 동안 지속됩니다.,,,,박자,Beat
21,1,쉼표,Rest,,쉼표는 소리의 쉼(지속시간)을 나타내는 음악 기호입니다.,쉼표와 음표는 동일한 시간 값을 가집니다; 연주자가 해당 길이만큼 쉬어야합니다.; 음표와 짝을 이루며 리듬을 구성합니다.,4분쉼표; 2분쉼표; 점4분쉼표,한 박자짜리 쉼표; 두 박자짜리 쉼표; 한 박자 반짜리 쉼표,‘온쉼표→2분쉼표→4분쉼표→8분쉼표→16분쉼표→32분쉼표’ 순서로 반씩 줄어듭니다; 점쉼표는 길이에 1/2을 더합니다.,박자,Beat
22,21,온쉼표,Whole-rest,,4박자 동안 소리를 멈춥니다.,"마디 전체를 쉼으로 채울 때 자주 사용 됩니다; 이는, 어느박자에 나와도 동일합니다.",,,,박자,Beat
23,21,2분쉼표,Half-rest,,2박자 동안 소리를 멈춥니다.,온쉼표의 절반 길이입니다,,,,박자,Beat
24,21,4분쉼표,Quarter-rest,,1박자 동안 소리를 멈춥니다.,가장 기본단위의 쉼표; 대부분의 박자계산 기준이 됩니다.,,,,박자,Beat
25,21,8분쉼표,Eighth-rest,,0.5박자 동안 소리를 멈춥니다.,4분쉼표의 절반; 4분쉼표 박자 하나에 2개가 들어갑니다.,,,,박자,Beat
26,21,16분쉼표,Sixteenth-rest,,0.25박자 동안 소리를 멈춥니다.,8분쉼표의 절반; 4분쉼표 박자 하나에 4개가 들어갑니다.,,,,박자,Beat
27,21,32분쉼표,Thirty-second-rest,,0.125박자 동안 소리를 멈춥니다.,16분쉼표의 절반; 4분쉼표 박자 하나에 8개가 들어갑니다.,,,,박자,Beat
28,21,점쉼표,Dotted-rest,,점쉼표는 원래 길이에 절반을 추가한 길이로 멈춥니다.,,,,점을 추가하면 1/2길이의 1/2을 더합니다. 이는 음표도 동일합니다.; 이를 겹점쉼표라고 부릅니다.,박자,Beat
29,21,점온쉼표,Dotted-Whole-rest,,6박자 동안 소리를 멈춥니다.,온쉼표(4박) + 2박(온쉼표의 절반) 길이로 6박자 동안 쉽니다.,,,,박자,Beat
30,21,점2분쉼표,Dotted-Half-rest,,3박자 동안 소리를 멈춥니다.,2분쉼표(2박) + 1박(2분쉼표의 절반) 길이로 3박자 동안 쉽니다.,,,,박자,Beat
